Draw,Date,Win_1,Win_2,Win_3,Win_4,Win_5,Win_6,Addl No.,From Last,Sum,Average,Low/High,Odd/Even,1-10,11-20,21-30,31-40,41-50
4092,2025-07-03,6,15,16,17,25,34,31,34,113,19,4 / 2,3 / 3,1,3,1,1,0
4091,2025-06-30,11,27,31,33,34,36,13,,172,29,1 / 5,4 / 2,0,1,1,4,0
4090,2025-06-26,10,26,28,35,37,46,20,37,182,30,1 / 5,2 / 4,1,0,2,2,1
4089,2025-06-23,2,15,29,37,45,49,24,37 / 45,177,30,2 / 4,5 / 1,1,1,1,1,2
4088,2025-06-19,1,10,37,40,45,47,19,,180,30,2 / 4,4 / 2,2,0,0,2,2
4087,2025-06-16,5,18,27,32,48,49,21,49,179,30,2 / 4,3 / 3,1,1,1,1,2
4086,2025-06-12,3,7,38,41,44,49,20,7,182,30,2 / 4,4 / 2,2,0,0,1,3
4085,2025-06-09,7,10,11,21,32,48,27,,129,22,4 / 2,3 / 3,2,1,1,1,1
4084,2025-06-05,2,5,25,26,29,30,42,,117,20,2 / 4,3 / 3,2,0,4,0,0
4083,2025-06-02,10,19,21,22,28,31,34,19,131,22,4 / 2,3 / 3,1,1,3,1,0
4082,2025-05-29,1,5,7,11,19,47,44,5,90,15,5 / 1,6 / 0,3,2,0,0,1
4081,2025-05-26,5,9,15,28,46,48,8,48,151,25,3 / 3,3 / 3,2,1,1,0,2
4080,2025-05-22,3,10,32,34,44,48,29,,171,29,2 / 4,1 / 5,2,0,0,2,2
4079,2025-05-19,2,15,17,18,39,45,26,17,136,23,4 / 2,4 / 2,1,3,0,1,1
4078,2025-05-15,9,16,17,20,34,38,18,16 / 20,134,22,4 / 2,2 / 4,1,3,0,2,0
4077,2025-05-12,6,16,20,23,40,48,45,,153,26,4 / 2,1 / 5,1,2,1,1,1
4076,2025-05-08,9,13,17,39,46,47,22,,171,29,3 / 3,5 / 1,1,2,0,1,2
4075,2025-05-05,5,8,28,38,40,43,39,8,162,27,2 / 4,2 / 4,2,0,1,2,1
4074,2025-05-01,2,8,12,30,35,49,38,8 / 12,136,23,3 / 3,2 / 4,2,1,1,1,1
4073,2025-04-28,3,8,12,18,24,41,11,,106,18,5 / 1,2 / 4,2,2,1,0,1
4072,2025-04-24,17,19,21,23,30,40,33,17 / 30,150,25,4 / 2,4 / 2,0,2,3,1,0
4071,2025-04-21,1,17,30,37,41,43,32,17,169,28,2 / 4,5 / 1,1,1,1,1,2
4070,2025-04-17,15,17,26,31,40,46,19,,175,29,2 / 4,3 / 3,0,2,1,2,1
4069,2025-04-14,6,14,29,30,35,42,25,14 / 30,156,26,2 / 4,2 / 4,1,1,2,1,1
4068,2025-04-10,14,26,27,30,46,48,10,,191,32,1 / 5,1 / 5,0,1,3,0,2
